,,telegraaf
allochtone,allochtoon,0.5313949429738641
allochtone,antilliaan,0.07097449457216495
allochtone,antillianen,0.7678095241832603
allochtone,arabier,0.07316946451152119
allochtone,arabieren,0.44241803848000316
allochtone,burger,0.266594696494381
allochtone,burgers,0.4457544969577305
allochtone,expat,0.15270422824079227
allochtone,expats,0.573204660806169
allochtone,immigrant,0.1567020302729082
allochtone,immigranten,0.44141117841984756
allochtone,irakees,0.19574864201061637
allochtone,irakezen,0.363903552567139
allochtone,marokkaan,0.09796367418043855
allochtone,marokkanen,0.6861683790053504
allochtone,migrant,0.1553020907578784
allochtone,migranten,0.42162396258407403
allochtone,moslim,0.32718461423249967
allochtone,moslims,0.4607718645070164
allochtone,nederlander,-0.02938721773795375
allochtone,nederlanders,0.33696059945688916
allochtone,somalier,0.028952957094818845
allochtone,somaliers,0.2075679323580322
allochtone,surinamer,0.04250797697224716
allochtone,surinamers,0.7152807513153846
allochtone,syrier,0.07566356679892415
allochtone,syriers,0.16993011757073298
allochtone,turk,0.13312154979749394
allochtone,turken,0.4495219918202037
allochtone,westers,0.12039350951969247
allochtonen,afgaan,-0.02139815322167995
allochtonen,afghanen,0.6793106359647647
allochtonen,allochtonen,0.9999999999999998
allochtonen,allochtoon,0.4211993942136183
allochtonen,antilliaan,-0.0007724208506831292
allochtonen,antillianen,0.7838608636467301
allochtonen,arabier,0.025301462084513192
allochtonen,arabieren,0.6232627456979541
allochtonen,burger,0.40159828370396095
allochtonen,burgers,0.7091936738519723
allochtonen,expat,0.05411325369910031
allochtonen,expats,0.6844256838321799
allochtonen,immigrant,0.14540139795406767
allochtonen,immigranten,0.690696360732121
allochtonen,irakees,0.087684052826782
allochtonen,irakezen,0.5276521652093551
allochtonen,marokkaan,0.051806548272793754
allochtonen,marokkanen,0.7625359215749697
allochtonen,migrant,0.16266639489993187
allochtonen,migranten,0.726203689104216
allochtonen,moslim,0.40332883546353315
allochtonen,moslims,0.7634125031559001
allochtonen,nederlander,0.04369548827103091
allochtonen,nederlanders,0.5891201215495225
allochtonen,somalier,-0.010419341611795637
allochtonen,somaliers,0.17614133273813823
allochtonen,surinamer,-0.06614979493072229
allochtonen,surinamers,0.6953871381565405
allochtonen,syrier,0.00718943309033133
allochtonen,syriers,0.12685980267041333
allochtonen,turk,0.04404967398193926
allochtonen,turken,0.6660675407076282
allochtonen,westers,0.15045261508615881
armoedig,afgaan,0.011080146590113664
armoedig,afghanen,0.04011151202511247
armoedig,allochtonen,-0.04869200944183039
armoedig,allochtoon,0.35257242467257616
armoedig,antilliaan,0.28024175028281667
armoedig,antillianen,0.12585832798290686
armoedig,arabier,0.5194235378947958
armoedig,arabieren,0.06464950551277904
armoedig,burger,-0.0743459147513836
armoedig,burgers,-0.12052514731047421
armoedig,expat,0.4041477218373101
armoedig,expats,-0.010676947167579874
armoedig,immigrant,0.24600407802848293
armoedig,immigranten,-0.1304636134792395
armoedig,irakees,0.33011789046845547
armoedig,irakezen,-0.08330515416436844
armoedig,marokkaan,0.18811800185226363
armoedig,marokkanen,0.03806717600174305
armoedig,migrant,0.22333949593562683
armoedig,migranten,-0.08506875218933785
armoedig,moslim,0.08320596999987863
armoedig,moslims,0.0020836207581066855
armoedig,nederlander,0.03231838326935844
armoedig,nederlanders,-0.059506166461413205
armoedig,somalier,0.39095938063326957
armoedig,somaliers,0.5027530549939003
armoedig,surinamer,0.3654290011356833
armoedig,surinamers,0.1896810153444565
armoedig,syrier,0.37524265369836063
armoedig,syriers,0.38219432664593483
armoedig,turk,0.27089274880020037
armoedig,turken,0.009471095416381008
armoedig,westers,0.6142160217614653
arrestant,afgaan,0.012967940123195125
arrestant,afghanen,0.13772879424669687
arrestant,allochtonen,-0.042698674021671476
arrestant,allochtoon,0.26159176873001233
arrestant,antilliaan,0.7623117735634451
arrestant,antillianen,0.18035192406016146
arrestant,arabier,0.7287221994292807
arrestant,arabieren,0.1437612042302068
arrestant,burger,0.34679737857637416
arrestant,burgers,0.10100548695154718
arrestant,expat,0.3519359503329628
arrestant,expats,-0.06229478307083931
arrestant,immigrant,0.6495765227260671
arrestant,immigranten,0.18945980350546968
arrestant,irakees,0.8353318951835584
arrestant,irakezen,0.2870445142734242
arrestant,marokkaan,0.7325944674341552
arrestant,marokkanen,0.17700185129952528
arrestant,migrant,0.5524271531526213
arrestant,migranten,0.05792318837874884
arrestant,moslim,0.47229091844244003
arrestant,moslims,0.1538813513846083
arrestant,nederlander,0.5008251083467031
arrestant,nederlanders,0.0857165062710477
arrestant,somalier,0.6394155822469622
arrestant,somaliers,0.37500768165416365
arrestant,surinamer,0.7423416538392655
arrestant,surinamers,0.1505243436767121
arrestant,syrier,0.6031687082169651
arrestant,syriers,0.40318943071710733
arrestant,turk,0.7541774310683538
arrestant,turken,0.13092410575576222
arrestant,westers,0.17431687232862167
asielzoeker,afgaan,-0.07371378388904241
asielzoeker,afghanen,0.3593936818680323
asielzoeker,allochtonen,0.27875355932109097
asielzoeker,allochtoon,0.472983474723178
asielzoeker,antilliaan,0.6763055095090538
asielzoeker,antillianen,0.39441820385311555
asielzoeker,arabier,0.607708116012187
asielzoeker,arabieren,0.39153254907140483
asielzoeker,burger,0.48935184820593014
asielzoeker,burgers,0.393019734601474
asielzoeker,expat,0.3483925443954987
asielzoeker,expats,0.24181131032454653
asielzoeker,immigrant,0.738865330112892
asielzoeker,immigranten,0.5288759533971449
asielzoeker,irakees,0.7454899501273792
asielzoeker,irakezen,0.468125905277967
asielzoeker,marokkaan,0.7332843604493531
asielzoeker,marokkanen,0.39514235099735545
asielzoeker,migrant,0.6427833282363636
asielzoeker,migranten,0.427236676437331
asielzoeker,moslim,0.7155280053910331
asielzoeker,moslims,0.48238360723217133
asielzoeker,nederlander,0.46756224702529087
asielzoeker,nederlanders,0.2689531526014773
asielzoeker,somalier,0.475574239036451
asielzoeker,somaliers,0.27292500913229545
asielzoeker,surinamer,0.6100625679492655
asielzoeker,surinamers,0.2933192279230804
asielzoeker,syrier,0.5134977718004778
asielzoeker,syriers,0.34820501440098534
asielzoeker,turk,0.7498117408421562
asielzoeker,turken,0.37689439215779263
asielzoeker,westers,0.3128365212857968
asielzoekers,afgaan,0.02490198806430572
asielzoekers,afghanen,0.6683405570011843
asielzoekers,allochtonen,0.6729763457685801
asielzoekers,allochtoon,0.25329733385568515
asielzoekers,antilliaan,0.06360328353724629
asielzoekers,antillianen,0.5624858354730523
asielzoekers,arabier,0.1410090001029329
asielzoekers,arabieren,0.5592997201027279
asielzoekers,burger,0.4201526418257431
asielzoekers,burgers,0.7108999921947726
asielzoekers,expat,0.12824001937965132
asielzoekers,expats,0.5796301884236501
asielzoekers,immigrant,0.2042932332805696
asielzoekers,immigranten,0.7453587276559075
asielzoekers,irakees,0.2175611339782626
asielzoekers,irakezen,0.665928358104863
asielzoekers,marokkaan,0.18699593930008102
asielzoekers,marokkanen,0.6246551960423854
asielzoekers,migrant,0.3011296011749775
asielzoekers,migranten,0.7865154802499891
asielzoekers,moslim,0.3949705877014567
asielzoekers,moslims,0.6989585988435199
asielzoekers,nederlander,0.06275064125375368
asielzoekers,nederlanders,0.5744096303056652
asielzoekers,somalier,0.03121126436762854
