,,telegraaf
arrestanten,irakezen,0.7166041269313654
arrestanten,marokkaan,0.38550251427022875
arrestanten,marokkanen,0.6301173480898757
arrestanten,migrant,0.15878348622165192
arrestanten,migranten,0.45162864695573546
arrestanten,moslim,0.2644822754078077
arrestanten,moslims,0.47290510863671564
arrestanten,nederlander,0.20096966001024824
arrestanten,nederlanders,0.5691052592993595
arrestanten,somalier,0.3411063630489899
arrestanten,somaliers,0.29494339449406304
arrestanten,surinamer,0.31752445998340545
arrestanten,surinamers,0.5794514949393532
arrestanten,syrier,0.2929010733031548
arrestanten,syriers,0.31233496052124454
arrestanten,turk,0.3283605728511858
arrestanten,turken,0.5353009094902509
arrestanten,vluchteling,0.2565624926600024
arrestanten,vluchtelingen,0.49207434629544183
arrestanten,westers,-0.10262015976269195
bankrover,afgaan,0.019362743206752256
bankrover,afghanen,0.15428411053819063
bankrover,allochtonen,-0.04578838501177228
bankrover,allochtoon,0.2827056659266411
bankrover,antilliaan,0.75131028003235
bankrover,antillianen,0.22204444609132867
bankrover,arabier,0.7062425512202821
bankrover,arabieren,0.1633163832479613
bankrover,belg,0.4686239087876456
bankrover,belgen,0.0558024989308608
bankrover,christen,0.18144066228606312
bankrover,christenen,0.18446370713973287
bankrover,duitser,0.5159481538389593
bankrover,duitsers,0.0739111553947349
bankrover,expat,0.635402331292541
bankrover,expats,0.14609130498704523
bankrover,immigrant,0.5840764612525509
bankrover,immigranten,0.09459643015846814
bankrover,irakees,0.6310708429453924
bankrover,irakezen,0.15898601808043958
bankrover,marokkaan,0.6070588923441318
bankrover,marokkanen,0.13392265746347973
bankrover,migrant,0.5371074311717519
bankrover,migranten,0.05108045878507097
bankrover,moslim,0.31622991602169737
bankrover,moslims,0.08535144269564374
bankrover,nederlander,0.356930528787729
bankrover,nederlanders,0.00126712388524787
bankrover,somalier,0.7608717604009253
bankrover,somaliers,0.5705040514793109
bankrover,surinamer,0.7282868356419524
bankrover,surinamers,0.18084727187752114
bankrover,syrier,0.784252885944581
bankrover,syriers,0.6522492204799157
bankrover,turk,0.7112524111577962
bankrover,turken,0.09317915655475434
bankrover,vluchteling,0.4646570225037165
bankrover,vluchtelingen,0.039368858881025405
bankrover,westers,0.24386452329861624
bendeleden,afgaan,0.07312908464264953
bendeleden,afghanen,0.6434456081723483
bendeleden,allochtonen,0.32759487038388774
bendeleden,allochtoon,0.05794272837130979
bendeleden,antilliaan,0.44648416921264966
bendeleden,antillianen,0.517820611745092
bendeleden,arabier,0.44115667080292564
bendeleden,arabieren,0.5296163909195848
bendeleden,belg,0.1628289276068649
bendeleden,belgen,0.4657919562846764
bendeleden,christen,0.07867984213139016
bendeleden,christenen,0.4688946241443775
bendeleden,duitser,0.25085565757418077
bendeleden,duitsers,0.4602987504338297
bendeleden,expat,0.23998730347968672
bendeleden,expats,0.44600476649893006
bendeleden,immigrant,0.3833563029266932
bendeleden,immigranten,0.5926331984715489
bendeleden,irakees,0.5115551047505124
bendeleden,irakezen,0.7135524107597078
bendeleden,marokkaan,0.436203883056156
bendeleden,marokkanen,0.5654397592257803
bendeleden,migrant,0.2323580777316523
bendeleden,migranten,0.4849623922349957
bendeleden,moslim,0.2420838704465004
bendeleden,moslims,0.45236093356085333
bendeleden,nederlander,0.2120794258580871
bendeleden,nederlanders,0.5086431691857669
bendeleden,somalier,0.4177369061433418
bendeleden,somaliers,0.4141312479343774
bendeleden,surinamer,0.42573074078901274
bendeleden,surinamers,0.5528752168039415
bendeleden,syrier,0.43089479218572935
bendeleden,syriers,0.4718338405723995
bendeleden,turk,0.4320763713108532
bendeleden,turken,0.5245260433607618
bendeleden,vluchteling,0.2904604742689297
bendeleden,vluchtelingen,0.4787197233521181
bendeleden,westers,-0.03132171992772603
bendeleider,afgaan,0.011365346991023997
bendeleider,afghanen,0.1867601544847066
bendeleider,allochtonen,-0.04336324017784067
bendeleider,allochtoon,0.323111240013765
bendeleider,antilliaan,0.7845319491329816
bendeleider,antillianen,0.25261715717845357
bendeleider,arabier,0.7779578090559145
bendeleider,arabieren,0.19623753701472785
bendeleider,belg,0.41102850086202275
bendeleider,belgen,-0.017686982332324096
bendeleider,christen,0.25464667310930855
bendeleider,christenen,0.18738814325320238
bendeleider,duitser,0.48510151839723875
bendeleider,duitsers,0.00047455301396477634
bendeleider,expat,0.596765125477901
bendeleider,expats,0.12020295459260998
bendeleider,immigrant,0.6717396935499729
bendeleider,immigranten,0.15506812969013142
bendeleider,irakees,0.7850198547326137
bendeleider,irakezen,0.23037904779037033
bendeleider,marokkaan,0.6068318291048727
bendeleider,marokkanen,0.157346439084305
bendeleider,migrant,0.5886472115555292
bendeleider,migranten,0.0532092878030636
bendeleider,moslim,0.40455134166290074
bendeleider,moslims,0.10939064387577993
bendeleider,nederlander,0.3212967004600341
bendeleider,nederlanders,0.017692074765341514
bendeleider,somalier,0.7805075400796584
bendeleider,somaliers,0.5440956914891154
bendeleider,surinamer,0.7843836347383619
bendeleider,surinamers,0.19712283894437274
bendeleider,syrier,0.7773945960088666
bendeleider,syriers,0.6767017347217749
bendeleider,turk,0.7310815806582527
bendeleider,turken,0.05869145567713757
bendeleider,vluchteling,0.538168488497018
bendeleider,vluchtelingen,0.04182752804835982
bendeleider,westers,0.3207077688363864
bendelid,afgaan,0.020065213373592822
bendelid,afghanen,0.048853951534087774
bendelid,allochtonen,-0.07414890111379274
bendelid,allochtoon,0.3692924208851571
bendelid,antilliaan,0.7279192646590742
bendelid,antillianen,0.20182000217580165
bendelid,arabier,0.7680059389046251
bendelid,arabieren,0.0875708169827635
bendelid,belg,0.3653004693062891
bendelid,belgen,-0.07987000823495827
bendelid,christen,0.27922490105672537
bendelid,christenen,0.120678633050079
bendelid,duitser,0.4398627411641302
bendelid,duitsers,-0.0033309684436709196
bendelid,expat,0.5802667710177234
bendelid,expats,-0.04778196451129106
bendelid,immigrant,0.6301252152140104
bendelid,immigranten,0.07738102904308097
bendelid,irakees,0.7651320641996845
bendelid,irakezen,0.118523622335282
bendelid,marokkaan,0.5924305958777283
bendelid,marokkanen,0.09651964640309402
bendelid,migrant,0.5644813663744583
bendelid,migranten,-0.02263122827465556
bendelid,moslim,0.3800206330742988
bendelid,moslims,0.05939833933616074
bendelid,nederlander,0.34814392942343864
bendelid,nederlanders,-0.054182091264788346
bendelid,somalier,0.7346172453407378
bendelid,somaliers,0.5756353209346624
bendelid,surinamer,0.7278534488191479
bendelid,surinamers,0.16346517379049363
bendelid,syrier,0.6999879842657999
bendelid,syriers,0.6091688774405639
bendelid,turk,0.6749941650117759
bendelid,turken,0.01808148474129014
bendelid,vluchteling,0.47854109625037616
bendelid,vluchtelingen,-0.04458572480035825
bendelid,westers,0.3794698173553299
bendes,afgaan,-0.08763712021153437
bendes,afghanen,0.6940777403900401
bendes,allochtonen,0.6018998621007078
bendes,allochtoon,0.15136553287402055
bendes,antilliaan,0.32665701680920456
bendes,antillianen,0.7236500957422789
bendes,arabier,0.21515222911399723
bendes,arabieren,0.6282786011030984
bendes,belg,0.00959179721466985
bendes,belgen,0.39057225504050114
bendes,christen,0.21398107385785745
bendes,christenen,0.6278837968452431
bendes,duitser,0.08661287407158502
bendes,duitsers,0.42949936844513953
bendes,expat,0.20115698434115703
bendes,expats,0.6302752531700818
bendes,immigrant,0.42268293625952946
bendes,immigranten,0.7882931479075297
bendes,irakees,0.33182663772840826
bendes,irakezen,0.6695618822728111
bendes,marokkaan,0.3774299063921587
bendes,marokkanen,0.6182675246237461
bendes,migrant,0.2824225206354847
bendes,migranten,0.7188084884256098
bendes,moslim,0.4256982661874822
bendes,moslims,0.6335515019380463
bendes,nederlander,0.14153010656201345
bendes,nederlanders,0.44491074513769274
bendes,somalier,0.18735738898437493
bendes,somaliers,0.22641854037693132
bendes,surinamer,0.17661165065124979
bendes,surinamers,0.5304066893240149
bendes,syrier,0.23727628072997603
bendes,syriers,0.2954816711601479
bendes,turk,0.32650083353320514
bendes,turken,0.5978515782609835
bendes,vluchteling,0.4554407483143159
bendes,vluchtelingen,0.661446709455547
bendes,westers,0.12062218347784004
beroepscrimineel,afgaan,-0.0068677455090222495
beroepscrimineel,afghanen,0.23364482762280664
beroepscrimineel,allochtonen,0.0282409998614975
beroepscrimineel,allochtoon,0.25677498419937805
beroepscrimineel,antilliaan,0.7622637007120858
beroepscrimineel,antillianen,0.2826013498225969
beroepscrimineel,arabier,0.6976549053966585
beroepscrimineel,arabieren,0.19228401288879993
beroepscrimineel,belg,0.49480435594478817
beroepscrimineel,belgen,0.11682774403844468
beroepscrimineel,christen,0.24414147866467284
beroepscrimineel,christenen,0.19153416610771384
beroepscrimineel,duitser,0.5279087772901818
beroepscrimineel,duitsers,0.12584661391724533
beroepscrimineel,expat,0.5491671423410931
beroepscrimineel,expats,0.16005494813349538
beroepscrimineel,immigrant,0.656871462095543
beroepscrimineel,immigranten,0.15725269715359624
beroepscrimineel,irakees,0.7063281470508352
beroepscrimineel,irakezen,0.23522501560783
beroepscrimineel,marokkaan,0.6876762240618689
beroepscrimineel,marokkanen,0.169938764431472
beroepscrimineel,migrant,0.5327193338213648
beroepscrimineel,migranten,0.06143915601323264
beroepscrimineel,moslim,0.35575198760877463
beroepscrimineel,moslims,0.13511929588489935
beroepscrimineel,nederlander,0.3941202869286933
beroepscrimineel,nederlanders,0.03601282810209089
beroepscrimineel,somalier,0.7275482433384115
beroepscrimineel,somaliers,0.4947796202843716
beroepscrimineel,surinamer,0.7737544800925688
beroepscrimineel,surinamers,0.23311323807601492
beroepscrimineel,syrier,0.7148402756096384
beroepscrimineel,syriers,0.586552515238395
beroepscrimineel,turk,0.6851380581498127
beroepscrimineel,turken,0.14137820120666136
beroepscrimineel,vluchteling,0.42404734891842055
beroepscrimineel,vluchtelingen,0.05594034364744911
beroepscrimineel,westers,0.2208838446120548
berovingen,afgaan,0.11544405436683532
berovingen,afghanen,0.5054931365107731
berovingen,allochtonen,0.4325629497151719
berovingen,allochtoon,0.18563573291841387
berovingen,antilliaan,0.3127388518112216
berovingen,antillianen,0.6368268687302105
berovingen,arabier,0.24727847281330712
berovingen,arabieren,0.4105078281391026
berovingen,belg,-0.06611969690876367
berovingen,belgen,0.17388984495136292
berovingen,christen,0.05584762426154984
berovingen,christenen,0.4028915819907528
berovingen,duitser,0.026813272917565682
berovingen,duitsers,0.22630110356435723
berovingen,expat,0.19247999337730698
berovingen,expats,0.3633478618364145
berovingen,immigrant,0.23961311648277125
berovingen,immigranten,0.4692234231559991
berovingen,irakees,0.45180277423773396
berovingen,irakezen,0.5269409457397429
berovingen,marokkaan,0.29736058542333144
berovingen,marokkanen,0.5881671910566675
berovingen,migrant,0.1571821102392698
berovingen,migranten,0.38039278842017554
berovingen,moslim,0.22023659725033176
berovingen,moslims,0.37401757160033056
berovingen,nederlander,0.045268913482389525
berovingen,nederlanders,0.30248384412865725
berovingen,somalier,0.35706664886610545
berovingen,somaliers,0.4222186536759664
berovingen,surinamer,0.27148602115917303
berovingen,surinamers,0.5606853164102027
berovingen,syrier,0.38776570139140637
berovingen,syriers,0.366996725445926
berovingen,turk,0.2777240766534081
berovingen,turken,0.3862218093257229
berovingen,vluchteling,0.1645648849712961
berovingen,vluchtelingen,0.3557210625876284
berovingen,westers,0.0033319516728008147
brandstichter,afgaan,0.07195711658002973
brandstichter,afghanen,0.27867689197534395
brandstichter,allochtonen,-0.016511401234514313
brandstichter,allochtoon,0.19863867331669852
brandstichter,antilliaan,0.6670965398116531
brandstichter,antillianen,0.2702986382639678
brandstichter,arabier,0.6861073182690082
brandstichter,arabieren,0.2304487063012301
brandstichter,belg,0.3485095635872375
brandstichter,belgen,0.1089118526257066
brandstichter,christen,0.16355754045730142
brandstichter,christenen,0.24284069754207965
brandstichter,duitser,0.4088803944589638
brandstichter,duitsers,0.14596014499133897
brandstichter,expat,0.4917836616292297
brandstichter,expats,0.1079527020237155
brandstichter,immigrant,0.49977122260245227
brandstichter,immigranten,0.15101968329173396
brandstichter,irakees,0.7432055410697822
brandstichter,irakezen,0.3442718832236341
brandstichter,marokkaan,0.5714173254624431
brandstichter,marokkanen,0.16826904762484296
brandstichter,migrant,0.42888366922652854
brandstichter,migranten,0.09987066316323717
brandstichter,moslim,0.25166985641224554
brandstichter,moslims,0.15140894902440477
brandstichter,nederlander,0.28775602585227567
brandstichter,nederlanders,0.1029932983798337
brandstichter,somalier,0.6699596877580537
brandstichter,somaliers,0.5798110696079093
brandstichter,surinamer,0.699782967193282
brandstichter,surinamers,0.23778229924063216
brandstichter,syrier,0.6844435784726794
brandstichter,syriers,0.6336327267213914
brandstichter,turk,0.5884655955798171
brandstichter,turken,0.14904087762176968
brandstichter,vluchteling,0.36453929261627255
brandstichter,vluchtelingen,0.12442150292335694
brandstichter,westers,0.1977405424312732
corrupt,afgaan,0.09197122214163124
corrupt,afghanen,0.3271825015293155
corrupt,allochtonen,0.2737192070989601
corrupt,allochtoon,0.47029244526486536
corrupt,antilliaan,0.24484452781653898
corrupt,antillianen,0.3401549283242127
corrupt,arabier,0.31503248564572595
corrupt,arabieren,0.4153602855553039
corrupt,belg,0.0388356185447191
corrupt,belgen,0.1530190161414283
corrupt,christen,0.5244760715592086
corrupt,christenen,0.45126176392432593
corrupt,duitser,0.07405946792271204
corrupt,duitsers,0.23250907870150028
corrupt,expat,0.22579954503443894
corrupt,expats,0.11898254035429406
corrupt,immigrant,0.26433981498449
corrupt,immigranten,0.2444605359029367
corrupt,irakees,0.32486862461941557
corrupt,irakezen,0.2784209021739413
corrupt,marokkaan,0.17350843862333
corrupt,marokkanen,0.3045137890949856
corrupt,migrant,0.20404664716641385
corrupt,migranten,0.22879541654559093
corrupt,moslim,0.5119839993770189
corrupt,moslims,0.396148237877943
corrupt,nederlander,0.0523708829771834
corrupt,nederlanders,0.12624329970765125
corrupt,somalier,0.26266615615566363
corrupt,somaliers,0.3593868531256805
corrupt,surinamer,0.17225322328198536
corrupt,surinamers,0.29311167178572595
corrupt,syrier,0.38032185974834265
corrupt,syriers,0.22348814968540895
corrupt,turk,0.3038951716871242
corrupt,turken,0.3232067369294952
corrupt,vluchteling,0.4147046574553277
corrupt,vluchtelingen,0.2381061869264432
corrupt,westers,0.6157627087263688
crimineel,afgaan,-0.03866963832855752
crimineel,afghanen,0.2662591485687209
crimineel,allochtonen,0.21239547843108514
crimineel,allochtoon,0.3887107513037963
crimineel,antilliaan,0.5564882327979692
crimineel,antillianen,0.3682049106450551
crimineel,arabier,0.4612232947904892
crimineel,arabieren,0.2433072634193244
crimineel,belg,0.2723684111742704
crimineel,belgen,0.014347100648114654
crimineel,christen,0.22242888042682937
crimineel,christenen,0.3337487335304796
crimineel,duitser,0.32093951243268093
crimineel,duitsers,0.14040466739974813
crimineel,expat,0.22856460994013694
crimineel,expats,0.1215355315527859
crimineel,immigrant,0.5819876634256413
crimineel,immigranten,0.36665350590050655
crimineel,irakees,0.6384861013763624
crimineel,irakezen,0.33527578372124445
crimineel,marokkaan,0.6788910881758311
crimineel,marokkanen,0.3315955036590519
crimineel,migrant,0.42975580165204563
crimineel,migranten,0.2578134621640439
crimineel,moslim,0.562633953756001
crimineel,moslims,0.3436084574637517
crimineel,nederlander,0.40752399317818777
crimineel,nederlanders,0.17735393480632877
crimineel,somalier,0.3297481248994336
crimineel,somaliers,0.15355227421944487
crimineel,surinamer,0.482336904797867
crimineel,surinamers,0.1817602619299843
crimineel,syrier,0.37618804392762284
crimineel,syriers,0.1936781416181193
crimineel,turk,0.6462909611644527
crimineel,turken,0.2690250320560297
crimineel,vluchteling,0.5386572710791858
crimineel,vluchtelingen,0.3401561689663426
crimineel,westers,0.29726896877036524
delinquenten,afgaan,0.06222904315636941
delinquenten,afghanen,0.5349268212398345
delinquenten,allochtonen,0.5297340561267523
delinquenten,allochtoon,0.3186597310329702
delinquenten,antilliaan,0.4987176052180289
delinquenten,antillianen,0.6213447216460122
delinquenten,arabier,0.43084101497247584
delinquenten,arabieren,0.4088921235775352
delinquenten,belg,0.19937792897009954
delinquenten,belgen,0.25744667356952855
delinquenten,christen,0.18124043537102685
delinquenten,christenen,0.3971589447086499
delinquenten,duitser,0.2259274532214729
delinquenten,duitsers,0.2376968006687902
delinquenten,expat,0.3509018951894062
delinquenten,expats,0.5349661010392903
delinquenten,immigrant,0.5583951838567625
delinquenten,immigranten,0.5889269773500545
delinquenten,irakees,0.5232907380653897
delinquenten,irakezen,0.5033260719635415
delinquenten,marokkaan,0.5099982700446387
delinquenten,marokkanen,0.5630642395439092
delinquenten,migrant,0.4672770579130132
delinquenten,migranten,0.5421405684070268
delinquenten,moslim,0.37833120825509475
delinquenten,moslims,0.4628200654711631
delinquenten,nederlander,0.2704548550991521
delinquenten,nederlanders,0.433472067661363
delinquenten,somalier,0.42404430088324147
delinquenten,somaliers,0.38059185862168643
delinquenten,surinamer,0.48747291812997556
delinquenten,surinamers,0.5259448830181287
delinquenten,syrier,0.3971355603980488
delinquenten,syriers,0.5012489922463336
delinquenten,turk,0.4888025426221772
delinquenten,turken,0.4120126786888859
delinquenten,vluchteling,0.4255164897479858
delinquenten,vluchtelingen,0.4831433489743477
delinquenten,westers,0.04917471261557131
drugsbaas,afgaan,-0.023703372958259826
drugsbaas,afghanen,0.20323153193868754
drugsbaas,allochtonen,0.004587589602817219
drugsbaas,allochtoon,0.26857164707907116
drugsbaas,antilliaan,0.7119493980141314
drugsbaas,antillianen,0.29576996309756887
drugsbaas,arabier,0.7613021411964543
drugsbaas,arabieren,0.21849885776662037
drugsbaas,belg,0.33344897713941046
drugsbaas,belgen,0.0439981264520439
drugsbaas,christen,0.2011614822391204
drugsbaas,christenen,0.22829280409172362
drugsbaas,duitser,0.3802309070948657
drugsbaas,duitsers,0.04969357630592938
drugsbaas,expat,0.6553825984138535
drugsbaas,expats,0.22205215537564663
drugsbaas,immigrant,0.629365393436091
drugsbaas,immigranten,0.1671172960720449
drugsbaas,irakees,0.7289372235718361
drugsbaas,irakezen,0.263737462230635
drugsbaas,marokkaan,0.5659906253387438
drugsbaas,marokkanen,0.17394717585043556
drugsbaas,migrant,0.6188960495150782
drugsbaas,migranten,0.13656371239495044
drugsbaas,moslim,0.3014955184766317
drugsbaas,moslims,0.12373211879881121
drugsbaas,nederlander,0.26949807980294693
drugsbaas,nederlanders,0.0474012307998204
drugsbaas,somalier,0.7731152114651194
drugsbaas,somaliers,0.6342168142041109
drugsbaas,surinamer,0.762408290473894
drugsbaas,surinamers,0.2989424755437237
drugsbaas,syrier,0.7627456052971704
drugsbaas,syriers,0.7523678298116827
drugsbaas,turk,0.647979780927309
drugsbaas,turken,0.11083747361661525
drugsbaas,vluchteling,0.40952662482132907
drugsbaas,vluchtelingen,0.09700723287433313
drugsbaas,westers,0.247133749070702
drugsbaron,afgaan,-0.10415944788075332
drugsbaron,afghanen,0.10206123804249992
drugsbaron,allochtonen,-0.1065619761280023
drugsbaron,allochtoon,0.21979945179877394
drugsbaron,antilliaan,0.7703078251466162
drugsbaron,antillianen,0.15789334206195177
drugsbaron,arabier,0.7303866811959554
drugsbaron,arabieren,0.17726767460926118
drugsbaron,belg,0.5452472408596579
drugsbaron,belgen,0.025506166436679467
drugsbaron,christen,0.24228568708097203
drugsbaron,christenen,0.15238497912263677
drugsbaron,duitser,0.5959798326098553
drugsbaron,duitsers,0.07989336039499992
drugsbaron,expat,0.49568456271037165
drugsbaron,expats,0.050120491023923026
drugsbaron,immigrant,0.6906995038552655
drugsbaron,immigranten,0.11884137401826225
drugsbaron,irakees,0.7276892570156794
drugsbaron,irakezen,0.2145442736378276
drugsbaron,marokkaan,0.6852772745484847
drugsbaron,marokkanen,0.11220750266563245
drugsbaron,migrant,0.5508748292215486
drugsbaron,migranten,-0.016037159571494843
drugsbaron,moslim,0.3944815318534819
drugsbaron,moslims,0.09042899024625348
drugsbaron,nederlander,0.41647617111817453
drugsbaron,nederlanders,-0.028941474574231477
drugsbaron,somalier,0.7007740813292967
drugsbaron,somaliers,0.3794816212863489
drugsbaron,surinamer,0.8051377716208609
drugsbaron,surinamers,0.1555373855398851
drugsbaron,syrier,0.7298871736732366
drugsbaron,syriers,0.5474536107214487
drugsbaron,turk,0.7786256838023652
drugsbaron,turken,0.07375249924561754
drugsbaron,vluchteling,0.4541877521288385
drugsbaron,vluchtelingen,0.011333800634353092
drugsbaron,westers,0.22576084458922027
drugscrimineel,afgaan,-0.0194339967744223
drugscrimineel,afghanen,0.1300504826765318
drugscrimineel,allochtonen,-0.05965448849323953
drugscrimineel,allochtoon,0.22347305807173948
drugscrimineel,antilliaan,0.7017593368337542
drugscrimineel,antillianen,0.21156012762830048
drugscrimineel,arabier,0.681693604281273
drugscrimineel,arabieren,0.200173245123975
drugscrimineel,belg,0.42692086622696473
drugscrimineel,belgen,0.026042331971674326
drugscrimineel,christen,0.20655295263309098
drugscrimineel,christenen,0.18012341773287247
drugscrimineel,duitser,0.45620128098646906
drugscrimineel,duitsers,0.04728085857897882
drugscrimineel,expat,0.5225776745713453
drugscrimineel,expats,0.12292557898764163
drugscrimineel,immigrant,0.6214269172462021
drugscrimineel,immigranten,0.17404608461240395
drugscrimineel,irakees,0.7348462020964649
drugscrimineel,irakezen,0.27960970132596996
drugscrimineel,marokkaan,0.6459699646948752
drugscrimineel,marokkanen,0.19788447090880532
drugscrimineel,migrant,0.5565348200015028
drugscrimineel,migranten,0.07419496542431697
drugscrimineel,moslim,0.3065329685470261
