,,telegraaf
hoogopgeleiden,christen,0.1410265319205918
hoogopgeleiden,christenen,0.3780709720719988
hoogopgeleiden,duitser,-0.06535333892047121
hoogopgeleiden,duitsers,0.2416171336955681
hoogopgeleiden,expat,0.3836219862119167
hoogopgeleiden,expats,0.7127676743377395
hoogopgeleiden,immigrant,0.2624037283907813
hoogopgeleiden,immigranten,0.47174783592644376
hoogopgeleiden,irakees,0.1967764928354584
hoogopgeleiden,irakezen,0.39116168523844774
hoogopgeleiden,marokkaan,0.06851691825927023
hoogopgeleiden,marokkanen,0.49656580071188283
hoogopgeleiden,migrant,0.2898644954035733
hoogopgeleiden,migranten,0.5645713462257038
hoogopgeleiden,moslim,0.12194469001430785
hoogopgeleiden,moslims,0.40015067473834764
hoogopgeleiden,nederlander,0.006122559889643872
hoogopgeleiden,nederlanders,0.45879859789441524
hoogopgeleiden,somalier,0.2840645880611403
hoogopgeleiden,somaliers,0.4785990655873589
hoogopgeleiden,surinamer,0.1723402618526808
hoogopgeleiden,surinamers,0.6011886881015185
hoogopgeleiden,syrier,0.2794940439963829
hoogopgeleiden,syriers,0.4355567936155797
hoogopgeleiden,turk,0.08848632283608365
hoogopgeleiden,turken,0.39862304179668395
hoogopgeleiden,vluchteling,0.21261880274259196
hoogopgeleiden,vluchtelingen,0.4019290945223379
hoogopgeleiden,westers,0.09876587860339829
intellectuelen,afgaan,0.009204338564877765
intellectuelen,afghanen,0.5903711372912482
intellectuelen,allochtonen,0.48962024707100993
intellectuelen,allochtoon,0.35993494703203077
intellectuelen,antilliaan,0.4420075379414949
intellectuelen,antillianen,0.6235338491756044
intellectuelen,arabier,0.4924589088932604
intellectuelen,arabieren,0.6518137792353115
intellectuelen,belg,0.1374637612301229
intellectuelen,belgen,0.34705469538060163
intellectuelen,christen,0.4618526233590379
intellectuelen,christenen,0.6404905804332515
intellectuelen,duitser,0.16430911609243676
intellectuelen,duitsers,0.2959995344649041
intellectuelen,expat,0.4279315215264363
intellectuelen,expats,0.5733430738997247
